Timestamp,SampleNr,AccX [mg],AccY [mg],AccZ [mg],GyrX [rad/s],GyrY [rad/s],GyrZ [rad/s],MagX [mGs],MagY [mGs],-MagZ [mGs],Battery [mV],Temperature [0.1C],Pressure[Pa]
12:55:1.851,7895,158.203125,641.6015625,-748.046875,-0.03665191429188092,-0.03665191429188092,0.007330382858376184,-1706,-462,690,3960,339,100690
12:55:1.871,7896,164.0625,651.3671875,-745.1171875,-0.03298672286269283,-0.03543018381548489,0.0012217304763960308,-1706,-462,690,3960,339,100690
12:55:1.892,7897,156.25,641.6015625,-750.0,-0.048869219055841226,-0.03543018381548489,-0.003665191429188092,-1706,-462,690,3960,339,100690
12:55:1.912,7898,162.109375,655.2734375,-740.234375,-0.0158824961931484,-0.039095375244672985,0.012217304763960306,-1706,-462,690,3960,339,100690
12:55:1.942,7899,165.0390625,652.34375,-735.3515625,0.006108652381980153,-0.0317649923862968,0.010995574287564277,-1711,-467,690,3960,339,100690
12:55:1.963,7900,166.015625,634.765625,-741.2109375,-0.026878070480712675,-0.03420845333908886,0.003665191429188092,-1711,-467,690,3960,339,100690
12:55:1.983,7901,159.1796875,635.7421875,-744.140625,-0.04153883619746505,-0.04398229715025711,0.012217304763960306,-1711,-467,690,3960,339,100690
12:55:2.4,7902,165.0390625,643.5546875,-739.2578125,-0.03543018381548489,-0.05742133239061345,0.004886921905584123,-1711,-467,690,3960,339,100690
12:55:2.14,7903,160.15625,645.5078125,-732.421875,-0.0158824961931484,-0.05375614096142535,0.0158824961931484,-1711,-467,690,3960,339,100690
12:55:2.35,7904,165.0390625,645.5078125,-737.3046875,-0.008552113334772215,-0.07086036763096978,0.009773843811168246,-1709,-465,689,3960,339,100690
12:55:2.55,7905,166.015625,642.578125,-741.2109375,-0.0317649923862968,-0.06841690667817772,-0.009773843811168246,-1709,-465,689,3960,339,100690
12:55:2.76,7906,153.3203125,664.0625,-741.2109375,-0.02809980095710871,-0.058643062867009474,-0.012217304763960306,-1709,-465,689,3960,339,100690
12:55:2.96,7907,153.3203125,657.2265625,-735.3515625,-0.003665191429188092,-0.05742133239061345,-0.019547687622336492,-1709,-465,689,3960,339,100690
12:55:2.106,7908,162.109375,649.4140625,-737.3046875,-0.0024434609527920616,-0.06963863715457375,-0.01832595714594046,-1709,-465,689,3960,339,100690
12:55:2.127,7909,161.1328125,620.1171875,-748.046875,-0.01710422666954443,-0.05497787143782139,-0.01832595714594046,-1718,-466,695,3960,339,100690
12:55:2.147,7910,152.34375,625.9765625,-745.1171875,-0.05619960191421742,-0.06475171524898964,-0.0158824961931484,-1718,-466,695,3960,339,100690
12:55:2.167,7911,160.15625,655.2734375,-746.09375,-0.026878070480712675,-0.06230825429619757,-0.006108652381980153,-1718,-466,695,3960,339,100690
12:55:2.177,7912,161.1328125,667.96875,-746.09375,0.014660765716752368,-0.06963863715457375,0.003665191429188092,-1718,-466,695,3960,339,100690
12:55:2.218,7913,156.25,642.578125,-749.0234375,0.025656340004316647,-0.05009094953223726,-0.004886921905584123,-1719,-460,697,3960,339,100690
12:55:2.238,7914,151.3671875,646.484375,-753.90625,-0.024434609527920613,-0.04398229715025711,-0.014660765716752368,-1719,-460,697,3960,339,100690
12:55:2.259,7915,160.15625,651.3671875,-747.0703125,-0.023212879051524585,-0.03298672286269283,-0.007330382858376184,-1719,-460,697,3960,339,100690
12:55:2.269,7916,158.203125,662.109375,-747.0703125,-0.010995574287564277,-0.024434609527920613,-0.0158824961931484,-1719,-460,697,3972,339,100687
12:55:2.290,7917,157.2265625,643.5546875,-744.140625,0.014660765716752368,-0.029321531433504737,-0.02809980095710871,-1719,-460,697,3972,339,100687
